"id","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","indoorOutdoor","place","physicalIntensityLevel","educationalBenefits","category"
"G147","Monopoly",,"Family Board Game","Beginner to Intermediate","A board game where players roll dice to move around the board, buying and trading properties, and collecting rent.","8","8+","1-3 hours","Monopoly board; Tokens; Title Deed cards; Chance cards; Community Chest cards; Houses and Hotels; Money; Dice","Become the wealthiest player through buying, renting, and selling property.","Financial literacy; Negotiation; Strategic planning","5-10 minutes","Indoor","Tabletop","Low","Teaches basic financial concepts and strategic decision-making","Board Games"
"G148","Scrabble",,"Word Game","Beginner to Advanced","A word game where players score points by placing tiles bearing a single letter onto a game board.","4","10+","50 minutes","Scrabble board; Letter tiles; Tile racks","Score the most points by creating words on the board.","Vocabulary; Spelling; Strategic placement","5 minutes","Indoor","Tabletop","Low","Enhances vocabulary and spelling skills","Board Games"
"G149","Risk",,"Strategy Board Game","Intermediate to Advanced","A strategy game of diplomacy and conquest where players control armies to conquer territories.","6","10+","2-4 hours","Risk game board; Army tokens; Dice; Cards","Conquer all territories on the board.","Strategic planning; Negotiation; Risk assessment","10 minutes","Indoor","Tabletop","Low","Develops strategic thinking and negotiation skills","Board Games"
"G150","Settlers of Catan","Catan","Strategy Board Game","Intermediate","Players collect resources and build settlements to earn victory points.","4","10+","1-2 hours","Catan game board; Resource cards; Tokens; Dice","Be the first to reach a set number of victory points.","Resource management; Strategy; Negotiation","10 minutes","Indoor","Tabletop","Low","Enhances strategic planning and resource management skills","Board Games"
"G151","Ticket to Ride",,"Strategy Board Game","Beginner to Intermediate","A cross-country train adventure where players collect and play matching train cards to claim railway routes.","5","8+","30-60 minutes","Game board; Train cards; Destination tickets; Train pieces","Score the most points by claiming routes and completing destination tickets.","Strategic planning; Risk assessment; Route planning","5 minutes","Indoor","Tabletop","Low","Enhances strategic thinking and planning skills","Board Games"
"G152","Carcassonne",,"Tile-Laying Game","Beginner to Intermediate","Players draw and place tiles to build a medieval landscape and place followers to score points.","5","8+","30-45 minutes","Carcassonne tiles; Meeples (followers); Scoreboard","Score the most points by building cities, roads, monasteries, and farms.","Spatial awareness; Strategic planning; Risk management","5 minutes","Indoor","Tabletop","Low","Develops spatial reasoning and strategic thinking","Board Games"
"G153","Pandemic",,"Cooperative Board Game","Intermediate","Players work together to stop global pandemics by treating diseases and finding cures.","4","8+","45 minutes","Game board; Role cards; Player cards; Disease cubes; Tokens","Work cooperatively to discover cures for all diseases before outbreaks overwhelm the world.","Teamwork; Strategic planning; Problem-solving","10 minutes","Indoor","Tabletop","Low","Enhances cooperative skills and strategic thinking","Board Games"
"G154","Clue","Cluedo","Mystery Board Game","Beginner to Intermediate","Players move around a mansion to solve a murder by deducing the correct suspect, weapon, and room.","6","8+","45-60 minutes","Clue board; Character tokens; Weapon tokens; Cards; Notepad; Dice","Be the first to correctly identify the murderer, weapon, and location.","Deductive reasoning; Memory; Strategy","5 minutes","Indoor","Tabletop","Low","Improves logical thinking and deductive skills","Board Games"
"G155","Battleship",,"Strategy Board Game","Beginner","Players hide ships on a grid and take turns guessing the coordinates to sink each other's fleet.","2","7+","20-30 minutes","Battleship game boards; Ships; Pegs","Sink all of the opponent's ships before they sink yours.","Strategic thinking; Memory; Deduction","5 minutes","Indoor","Tabletop","Low","Enhances strategic planning and spatial reasoning","Board Games"
"G156","Connect Four","Four in a Row","Abstract Strategy Game","Beginner","Players take turns dropping colored discs into a grid to make a line of four.","2","6+","10-20 minutes","Connect Four grid; Colored discs","Be the first to connect four of your colored discs in a row.","Strategic planning; Pattern recognition; Problem-solving","2 minutes","Indoor","Tabletop","Low","Develops critical thinking and planning skills","Board Games"
