"id","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","indoorOutdoor","place","physicalIntensityLevel","educationalBenefits","category"
"G337","Hide and Seek",,"Outdoor Game","Beginner","One player closes their eyes and counts while others hide; the seeker then tries to find all hidden players.","Unlimited","3+","Variable","None","Find all hidden players or avoid being found by the seeker.","Observation; Patience; Strategy","None","Outdoor or Indoor","Various","Moderate","Develops observation skills and strategic thinking","Children Games"
"G338","Tag",,"Outdoor Game","Beginner","One player is 'it' and chases others to tag them; the tagged player becomes the new 'it.'","Unlimited","3+","Variable","None","Avoid being tagged or tag other players.","Speed; Agility; Reflexes","None","Outdoor","Open area","High","Promotes physical activity and social interaction","Children Games"
"G339","Duck Duck Goose",,"Circle Game","Beginner","Children sit in a circle; one walks around tapping others saying 'duck,' then 'goose' to initiate a chase.","Unlimited","03/08","15-20 minutes","None","Catch the player before they take your spot or avoid being caught.","Speed; Listening; Reflexes","None","Outdoor or Indoor","Open area","Moderate","Enhances listening skills and physical activity","Children Games"
"G340","Simon Says",,"Instructional Game","Beginner","One player (Simon) gives commands starting with 'Simon says'; players follow only these commands.","Unlimited","3+","Variable","None","Follow only the commands that start with 'Simon says.'","Listening; Attention; Quick thinking","None","Indoor or Outdoor","Open space","Low","Improves listening skills and impulse control","Children Games"
"G341","Musical Chairs",,"Elimination Game","Beginner","Players walk around chairs while music plays; when it stops, they must sit; one chair is removed each round.","Unlimited","4+","Variable","Chairs; Music source","Avoid being left without a chair when the music stops.","Reflexes; Listening; Speed","5 minutes","Indoor or Outdoor","Open space","Moderate","Develops quick reactions and listening skills","Children Games"
"G342","Red Light, Green Light",,"Movement Game","Beginner","One player calls 'green light' for others to move and 'red light' to stop; movement during 'red light' results in elimination.","Unlimited","3+","Variable","None","Reach the caller first without moving during 'red light.'","Self-control; Observation; Speed","None","Outdoor or Indoor","Open area","Moderate","Enhances self-regulation and attention","Children Games"
"G343","Hopscotch",,"Jumping Game","Beginner","Players toss a marker onto a numbered grid and hop through squares to retrieve it.","Unlimited","4+","Variable","Chalk; Small stone or marker","Complete the course hopping on one foot without stepping on lines.","Balance; Coordination; Counting","5 minutes","Outdoor","Pavement or flat surface","Moderate","Develops balance and number recognition","Children Games"
"G344","Freeze Dance",,"Dance Game","Beginner","Players dance while music plays and must freeze when it stops; those who move are out.","Unlimited","3+","Variable","Music source","Be the last player remaining by freezing when the music stops.","Listening; Balance; Self-control","2 minutes","Indoor","Open space","Moderate","Improves listening skills and self-regulation","Children Games"
"G345","Mother May I",,"Instructional Game","Beginner","Players ask 'Mother' for permission to move forward with specific actions; 'Mother' grants or denies requests.","Unlimited","4+","Variable","None","Reach 'Mother' first by following granted instructions.","Politeness; Listening; Strategy","None","Outdoor or Indoor","Open area","Low","Teaches manners and following directions","Children Games"
"G346","Capture the Flag",,"Team Game","Beginner to Intermediate","Two teams each have a flag and try to capture the opponent's flag and bring it to their own base.","Unlimited","6+","Variable","Flags or markers","Capture the opposing team's flag without being tagged.","Teamwork; Strategy; Agility","5 minutes","Outdoor","Large open area","High","Enhances teamwork and strategic planning","Children Games"
"G347","Leapfrog",,"Jumping Game","Beginner","Players take turns leaping over each other in a crouched position.","Unlimited","3+","Variable","None","Leap over all players or reach a designated point.","Coordination; Agility; Strength","None","Outdoor or Indoor","Open area","High","Promotes physical activity and coordination","Children Games"
"G348","Hot Potato",,"Passing Game","Beginner","Players pass an object while music plays; the player holding it when music stops is out.","Unlimited","3+","Variable","Small object; Music source","Avoid holding the 'hot potato' when the music stops.","Reflexes; Coordination; Listening","2 minutes","Indoor or Outdoor","Seated or standing circle","Low","Improves reaction time and listening skills","Children Games"
