"id","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","indoorOutdoor","place","physicalIntensityLevel","educationalBenefits","category"
"G101","Chess","International Chess; Western Chess","Board Game","Beginner to Grandmaster","A strategic two-player game involving tactical moves to checkmate the opponent's king.","2","6+","10 minutes to several hours","Chessboard; 32 chess pieces","Checkmate the opponent's king.","Critical thinking; Problem-solving; Concentration","Under 5 minutes","Indoor","Tabletop","Low","Improves logical reasoning and strategic planning","Indoor Games"
"G102","Monopoly",,"Board Game","Beginner to Intermediate","A board game where players roll dice to move around the board, buying and trading properties, and collecting rent.","8","8+","1-3 hours","Monopoly board; Tokens; Cards; Money; Dice","Become the wealthiest player through buying, renting, and selling property.","Financial literacy; Negotiation; Strategic planning","5 minutes","Indoor","Tabletop","Low","Teaches basic financial concepts and strategic decision-making","Indoor Games"
"G103","Scrabble",,"Word Game","Beginner to Advanced","A word game where players score points by placing tiles bearing a single letter onto a game board.","4","10+","50 minutes","Scrabble board; Letter tiles; Tile racks","Score the most points by creating words on the board.","Vocabulary; Spelling; Strategic placement","5 minutes","Indoor","Tabletop","Low","Enhances vocabulary and spelling skills","Indoor Games"
"G104","Jenga",,"Dexterity Game","Beginner","A game of physical skill where players remove blocks from a tower and place them on top without causing it to collapse.","8","6+","15-30 minutes","Jenga block set","Be the last player to successfully remove and place a block without toppling the tower.","Fine motor skills; Patience; Concentration","2 minutes","Indoor","Tabletop","Low","Develops fine motor skills and hand-eye coordination","Indoor Games"
"G105","Ping Pong","Table Tennis","Racquet Sport","Beginner to Advanced","A sport where players hit a lightweight ball back and forth across a table using small paddles.","4","6+","15-30 minutes","Table tennis table; Paddles; Balls; Net","Score points by hitting the ball so the opponent cannot return it.","Reflexes; Hand-eye coordination; Strategy","5 minutes","Indoor","Recreational room","Moderate","Enhances reflexes and coordination","Indoor Games"
"G106","Foosball","Table Soccer","Table Game","Beginner to Intermediate","A table-top game that is loosely based on soccer, where players manipulate rods to control figures on the table.","4","6+","10-30 minutes","Foosball table","Score more goals than the opponent by manipulating figures to hit the ball into the goal.","Hand-eye coordination; Reflexes; Strategy","2 minutes","Indoor","Game room","Low","Improves coordination and strategic thinking","Indoor Games"
"G107","Charades",,"Party Game","Beginner","A word guessing game where one player acts out a word or phrase, and others guess what it is.","Unlimited","8+","Variable","None or prepared phrases on cards","Guess the word or phrase being acted out without speaking.","Non-verbal communication; Creativity; Teamwork","5 minutes","Indoor","Living room or open space","Low","Enhances creativity and interpretive skills","Indoor Games"
"G108","Pictionary",,"Drawing Game","Beginner","A game where players try to guess a word or phrase from a teammate's drawings.","Unlimited","8+","Variable","Drawing pad; Pencils; Timer; Word cards","Be the first team to guess the word or phrase being drawn.","Creativity; Visual communication; Teamwork","5 minutes","Indoor","Tabletop","Low","Encourages creative thinking and visual expression","Indoor Games"
"G109","Clue","Cluedo","Board Game","Beginner to Intermediate","A mystery game where players move around a mansion to solve a murder by deducing the correct suspect, weapon, and room.","6","8+","45-60 minutes","Clue board; Cards; Tokens; Notepad; Dice","Be the first to correctly identify the murderer, weapon, and location.","Deductive reasoning; Memory; Strategy","5 minutes","Indoor","Tabletop","Low","Improves logical thinking and deductive skills","Indoor Games"
"G110","Dominoes",,"Tile Game","Beginner","A game where players match tiles with the same number of dots to win points or empty their hand.","4","6+","Variable","Set of domino tiles","Be the first to play all your tiles or score the most points.","Numeracy; Strategy; Pattern recognition","2 minutes","Indoor","Tabletop","Low","Enhances counting skills and strategic planning","Indoor Games"
"G111","Billiards","Pool","Cue Sport","Beginner to Advanced","A game where players use a cue stick to strike balls on a table into pockets.","4","10+","Variable","Billiard table; Cue sticks; Billiard balls; Chalk","Score points by pocketing balls in a specific order or pattern.","Hand-eye coordination; Precision; Strategy","5 minutes","Indoor","Game room","Moderate","Improves focus, coordination, and strategic thinking","Indoor Games"
"G112","Darts",,"Target Game","Beginner to Advanced","Players throw small missiles at a circular target (dartboard) to score points.","8","10+","Variable","Dartboard; Darts","Reduce your score to zero by hitting specific targets on the board.","Precision; Hand-eye coordination; Mathematics","5 minutes","Indoor","Game room; Pub","Low","Enhances math skills and precision","Indoor Games"
"G113","Air Hockey",,"Table Game","Beginner to Intermediate","A game where two players use handheld paddles to hit a puck across a low-friction table into the opponent's goal.","2","6+","10-20 minutes","Air hockey table; Pucks; Paddles","Score more goals than the opponent.","Reflexes; Hand-eye coordination; Strategy","2 minutes","Indoor","Arcade; Game room","Moderate","Improves reflexes and strategic thinking","Indoor Games"
"G114","Mahjong",,"Tile Game","Intermediate to Advanced","A game of skill, strategy, and calculation using a set of 144 tiles based on Chinese characters and symbols.","4","12+","1-2 hours","Mahjong tiles; Scoring sticks or chips","Build a winning hand by drawing and discarding tiles.","Pattern recognition; Strategy; Memory","10 minutes","Indoor","Tabletop","Low","Enhances memory, strategy, and cultural appreciation","Indoor Games"
"G115","Twister",,"Party Game","Beginner","A game where players place their hands and feet on colored circles according to a spinner's instructions without falling.","4","6+","10-30 minutes","Twister mat; Spinner","Be the last player remaining without falling over.","Flexibility; Balance; Coordination","2 minutes","Indoor","Open floor space","Moderate","Promotes physical activity and coordination","Indoor Games"
"G116","Codenames",,"Word Game","Beginner to Intermediate","Two teams compete to see who can make contact with all their agents first using one-word clues.","8","14+","15-30 minutes","Codenames cards","Correctly guess all your team's words based on the spymaster's clues.","Word association; Teamwork; Strategic thinking","5 minutes","Indoor","Tabletop","Low","Enhances vocabulary and team communication","Indoor Games"
"G117","Uno",,"Card Game","Beginner","A shedding-type card game where players aim to be the first to play all their cards.","10","7+","30 minutes","Uno card deck","Be the first player to play all your cards.","Matching; Strategic play; Color and number recognition","2 minutes","Indoor","Tabletop","Low","Improves color and number recognition, strategic thinking","Indoor Games"
"G118","Backgammon",,"Board Game","Intermediate","A two-player game combining strategy and luck where players move pieces according to the roll of dice.","2","10+","30-60 minutes","Backgammon board; Checkers; Dice","Move all your checkers off the board before your opponent.","Strategic planning; Probability; Counting","5 minutes","Indoor","Tabletop","Low","Enhances strategic thinking and probability assessment","Indoor Games"
"G119","Checkers","Draughts","Board Game","Beginner","A strategy game where players move pieces diagonally to capture opponent pieces by jumping over them.","2","6+","10-30 minutes","Checkers board; 24 playing pieces","Capture all of the opponent's pieces or block them from moving.","Strategic planning; Forward thinking; Patience","2 minutes","Indoor","Tabletop","Low","Develops strategic thinking and planning skills","Indoor Games"
"G120","Operation",,"Dexterity Game","Beginner","A game where players remove ailments from a patient without touching the edges of the cavities.","6","6+","10-20 minutes","Operation game set","Remove all ailments without setting off the buzzer.","Fine motor skills; Concentration; Patience","2 minutes","Indoor","Tabletop","Low","Enhances hand-eye coordination and fine motor skills","Indoor Games"
