"id","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","indoorOutdoor","place","physicalIntensityLevel","educationalBenefits","category"
"G219","Brain Quest",,"Trivia Game","Beginner to Intermediate","A question-and-answer game designed to challenge kids on various subjects like math, science, and language arts.","6","05/12","30-60 minutes","Brain Quest question cards","Answer questions correctly to earn points and win the game.","Critical thinking; Knowledge recall; Listening skills","2 minutes","Indoor","Tabletop","Low","Enhances general knowledge and critical thinking skills","Educational Games"
"G220","Math Blaster",,"Educational Video Game","Beginner to Intermediate","A video game that combines arcade-style action with math problems to solve.","1","06/12","Variable","Computer or console; Game software","Solve math problems to progress through the game levels.","Math skills; Problem-solving; Reflexes","Installation time (~10 minutes)","Indoor","Home gaming setup","Low","Improves math proficiency and problem-solving skills","Educational Games"
"G221","The Oregon Trail",,"Educational Video Game","Beginner to Intermediate","A simulation game where players manage resources to travel the historic Oregon Trail.","1","10+","Variable","Computer or mobile device; Game software","Successfully travel from Missouri to Oregon without losing your party.","Resource management; Decision-making; Historical knowledge","Installation time (~10 minutes)","Indoor","Home gaming setup","Low","Teaches history and resource management","Educational Games"
"G222","Scrabble",,"Word Game","Beginner to Advanced","A word game where players score points by placing tiles bearing letters onto a game board.","4","10+","50 minutes","Scrabble board; Letter tiles; Tile racks","Score the most points by creating words on the board.","Vocabulary; Spelling; Strategic placement","5 minutes","Indoor","Tabletop","Low","Enhances vocabulary and spelling skills","Educational Games"
"G223","Where in the World Is Carmen Sandiego?",,"Educational Video Game","Beginner to Intermediate","A game where players use geography and history knowledge to track down the elusive Carmen Sandiego.","1","8+","Variable","Computer or mobile device; Game software","Track and capture Carmen Sandiego by solving clues.","Geography; Deductive reasoning; Critical thinking","Installation time (~10 minutes)","Indoor","Home gaming setup","Low","Teaches geography and improves deductive reasoning","Educational Games"
"G224","Code Monkey",,"Programming Game","Beginner","An online game that teaches kids coding concepts through puzzle-solving.","1","8-14","Variable","Computer; Internet access","Solve puzzles by writing code to control a monkey collecting bananas.","Programming logic; Problem-solving; Sequencing","2 minutes","Indoor","Home or classroom","Low","Introduces programming concepts and logical thinking","Educational Games"
"G225","Typing Instructor",,"Educational Software","Beginner to Intermediate","A software that helps improve typing speed and accuracy through interactive lessons and games.","1","7+","Variable","Computer; Software","Complete typing lessons and games to improve skills.","Typing skills; Hand-eye coordination; Concentration","2 minutes","Indoor","Home or classroom","Low","Improves typing proficiency and computer literacy","Educational Games"
"G226","Stack the States",,"Educational App","Beginner","A mobile app where players learn about U.S. states by answering questions and stacking them to reach a goal line.","1","7+","Variable","Mobile device; App download","Answer questions correctly to stack states and reach the goal.","Geography; Memory; Spatial reasoning","2 minutes","Indoor","Anywhere","Low","Teaches U.S. geography and state facts","Educational Games"
"G227","LeapFrog LeapStart",,"Interactive Learning System","Beginner","An interactive learning system with activity books covering various subjects like reading, math, and science.","1","02/07","Variable","LeapStart device; Activity books","Complete activities to learn new concepts and skills.","Early literacy; Numeracy; Critical thinking","5 minutes","Indoor","Home or classroom","Low","Supports early childhood education across multiple subjects","Educational Games"
"G228","BrainPOP",,"Educational Website","Beginner to Intermediate","An online platform offering animated videos and quizzes on various educational topics.","Unlimited","6-17","Variable","Computer or tablet; Internet access","Watch videos and take quizzes to learn about different subjects.","Listening comprehension; Knowledge acquisition; Critical thinking","2 minutes","Indoor","Home or classroom","Low","Provides engaging content across multiple subjects","Educational Games"
