"id","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","indoorOutdoor","place","physicalIntensityLevel","educationalBenefits","category"
"G001","Soccer","Football","Team Sport","Beginner to Professional","A team sport where players aim to score goals by getting the ball into the opposing team's net without using their hands or arms.","22","4+","90 minutes","Soccer ball; Goals; Cleats; Shin guards","Score more goals than the opposing team within the allotted time.","Teamwork; Coordination; Physical fitness","10-15 minutes","Outdoor","Soccer field or pitch","High","Promotes physical fitness, teamwork, and strategic thinking","Outdoor Sports and Games"
"G002","Ultimate Frisbee","Ultimate","Team Sport","Beginner to Advanced","A non-contact team sport played with a flying disc, where teams score by catching the disc in the opposing end zone.","14","10+","60-90 minutes","Frisbee (flying disc)","Score points by catching the disc in the opposing team's end zone.","Throwing skills; Endurance; Teamwork","5-10 minutes","Outdoor","Open field","High","Enhances coordination, teamwork, and promotes fair play","Outdoor Sports and Games"
"G003","Capture the Flag",,"Outdoor Game","Beginner to Intermediate","A game where two teams try to capture the opposing team's flag and return it to their own base without being tagged.",,"8+","30-60 minutes","Two flags or markers","Capture the opposing team's flag and bring it back to your own territory.","Strategy; Teamwork; Physical fitness","10 minutes","Outdoor","Large open area with defined boundaries","Moderate to High","Encourages strategic thinking, teamwork, and physical activity","Outdoor Sports and Games"
"G004","Archery",,"Individual Sport","Beginner to Advanced","Shooting arrows at a target for accuracy from a set distance using a bow.",,"10+","1-2 hours","Bow; Arrows; Target; Protective gear","Hit the target as accurately as possible.","Focus; Hand-eye coordination; Discipline","15-20 minutes","Outdoor","Archery range or open field with safety measures","Low to Moderate","Improves concentration, discipline, and coordination","Outdoor Sports and Games"
"G005","Hiking","Trekking","Recreational Activity","Beginner to Advanced","A long, vigorous walk on trails or footpaths in the countryside.",,"All ages","Varies","Comfortable walking shoes or boots; Backpack; Water; Map","Complete the chosen trail or reach a specific destination.","Endurance; Navigation; Environmental awareness","Varies (planning route, packing gear)","Outdoor","Trails, forests, mountains","Low to High","Promotes physical health, appreciation for nature, and navigation skills","Outdoor Sports and Games"
"G006","Beach Volleyball",,"Team Sport","Beginner to Professional","A team sport played by two teams of two players on a sand court divided by a net.","4","8+","30-60 minutes","Volleyball; Net; Sand court","Score points by grounding the ball on the opponent's side of the court.","Teamwork; Agility; Coordination","15 minutes","Outdoor","Beach or sand court","High","Enhances teamwork, communication, and physical fitness","Outdoor Sports and Games"
"G007","Kayaking",,"Water Sport","Beginner to Advanced","Paddling a small craft through water using a double-bladed paddle.",,"12+","1 hour to full-day trips","Kayak; Paddle; Life jacket; Helmet","Navigate waterways for exploration, competition, or leisure.","Upper body strength; Balance; Navigation","20 minutes","Outdoor","Rivers, lakes, seas","Moderate to High","Promotes physical fitness, environmental awareness, and water safety skills","Outdoor Sports and Games"
"G008","Rock Climbing",,"Extreme Sport","Beginner to Expert","Ascending natural rock formations or artificial rock walls using specialized equipment.",,"10+","A few hours to full-day climbs","Climbing shoes; Harness; Rope; Helmet; Carabiners","Reach the top of a climb or complete a route.","Strength; Problem-solving; Focus","30 minutes","Outdoor","Rock faces, cliffs, climbing walls","High","Enhances physical strength, mental focus, and safety awareness","Outdoor Sports and Games"
"G009","Orienteering",,"Navigation Sport","Beginner to Advanced","A sport where participants find their way to various checkpoints using a map and compass.",,"8+","30 minutes to several hours","Map; Compass; Running shoes","Locate all checkpoints in the shortest possible time.","Navigation; Decision-making; Endurance","Varies (setting up the course)","Outdoor","Forests, parks, wilderness areas","Moderate to High","Improves navigation skills, decision-making, and physical fitness","Outdoor Sports and Games"
"G010","Tag","It; Chasey","Children's Game","Beginner","A playground game where one player is 'It' and must chase and tag other players, who then become 'It'.",,"3+","Variable","None","Avoid being tagged by 'It' or tag others if you are 'It'.","Speed; Agility; Awareness","None","Outdoor","Playground, backyard, open area","Moderate to High","Promotes physical activity, social interaction, and reflexes","Outdoor Sports and Games"
