"id","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","indoorOutdoor","place","physicalIntensityLevel","educationalBenefits","category"
"G394","Capture the Flag",,"Outdoor Game","Beginner to Intermediate","Two teams each have a flag and try to capture the opponent's flag and bring it to their own base without being tagged.","Unlimited","6+","Variable","Flags or markers","Capture the opposing team's flag without being tagged.","Teamwork; Strategy; Agility","5 minutes","Outdoor","Large open area","High","Enhances teamwork, strategic planning, and physical fitness","Physical Fitness Games"
"G395","Relay Races",,"Running Game","Beginner","Teams compete in races where each member runs a segment before passing a baton to the next runner.","Unlimited","4+","Variable","Baton or any handheld object","Be the first team to have all members complete their segments.","Speed; Teamwork; Coordination","2 minutes","Outdoor or Indoor","Track or open space","High","Improves speed, teamwork, and coordination","Physical Fitness Games"
"G396","Obstacle Course Challenge",,"Physical Activity","Intermediate","Participants navigate a series of physical obstacles designed to challenge strength, agility, and endurance.","Unlimited","6+","Variable","Variety of equipment (cones, ropes, hurdles)","Complete the course in the fastest time or with the best technique.","Strength; Agility; Problem-solving","15-30 minutes","Outdoor or Indoor","Open area","High","Enhances physical fitness and problem-solving skills","Physical Fitness Games"
"G397","Dodgeball",,"Ball Game","Beginner","Players try to eliminate opponents by hitting them with soft balls while avoiding being hit themselves.","Unlimited","8+","Variable","Soft balls; Marked boundaries","Eliminate all players on the opposing team.","Agility; Throwing accuracy; Reflexes","5 minutes","Indoor or Outdoor","Gym or open space","High","Improves agility, coordination, and teamwork","Physical Fitness Games"
"G398","Jump Rope Challenges",,"Cardio Exercise","Beginner to Intermediate","Players perform various jump rope exercises, sometimes incorporating tricks or speed challenges.","Unlimited","5+","Variable","Jump ropes","Complete jump rope activities or challenges.","Endurance; Coordination; Rhythm","2 minutes","Outdoor or Indoor","Open space","Moderate to High","Enhances cardiovascular fitness and coordination","Physical Fitness Games"
"G399","Musical Fitness Circuit",,"Fitness Game","Beginner","Participants move through fitness stations set to music, performing different exercises at each station.","Unlimited","6+","Variable","Music source; Exercise equipment (optional)","Complete all fitness stations while enjoying music.","Strength; Endurance; Flexibility","10 minutes","Indoor or Outdoor","Gym or open area","High","Promotes physical fitness and makes exercise enjoyable","Physical Fitness Games"
"G400","Tag Variations","Freeze Tag; Shadow Tag","Running Game","Beginner","Various forms of tag where players chase and tag others, sometimes with additional rules like freezing in place when tagged.","Unlimited","4+","Variable","None","Avoid being tagged or tag other players based on game variation.","Speed; Agility; Strategy","None","Outdoor","Open area","High","Encourages physical activity and quick reflexes","Physical Fitness Games"
"G401","Simon Says Fitness Edition",,"Instructional Game","Beginner","A fitness twist on Simon Says where players perform exercises only when 'Simon says.'","Unlimited","4+","Variable","None","Follow the commands starting with 'Simon says' to stay in the game.","Listening; Physical fitness; Coordination","None","Indoor or Outdoor","Open space","Moderate","Combines listening skills with physical exercise","Physical Fitness Games"
"G402","Fitness Scavenger Hunt",,"Team Activity","Beginner to Intermediate","Teams search for items or complete fitness challenges based on clues provided.","Unlimited","6+","Variable","Clue cards; List of items or challenges","Be the first team to find all items or complete all challenges.","Teamwork; Problem-solving; Physical fitness","15 minutes","Outdoor or Indoor","Various locations","Moderate","Promotes teamwork, problem-solving, and physical activity","Physical Fitness Games"
"G403","Yoga Freeze",,"Balance Game","Beginner","Players perform yoga poses when music stops, holding the pose without moving.","Unlimited","4+","Variable","Music source","Hold the yoga pose without losing balance when the music stops.","Balance; Flexibility; Concentration","2 minutes","Indoor or Outdoor","Open space","Low to Moderate","Improves balance, flexibility, and mindfulness","Physical Fitness Games"
"G404","Tug of War",,"Strength Game","Beginner","Two teams pull on opposite ends of a rope, trying to drag the other team across a center line.","Unlimited","6+","Variable","Sturdy rope; Marked center line","Pull the opposing team across the center line.","Strength; Teamwork; Coordination","5 minutes","Outdoor","Flat surface","High","Builds strength and encourages teamwork","Physical Fitness Games"
