"id","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","indoorOutdoor","place","physicalIntensityLevel","educationalBenefits","category"
"G313","Kabaddi",,"Traditional Sport","Beginner to Professional","A contact team sport originating from India, where a 'raider' enters the opposing team's half to tag as many defenders as possible and return to their own half without being tackled.","14","7+","40 minutes","No equipment (sometimes a marked court)","Score points by tagging opponents and returning safely.","Agility; Strategy; Breath control","5 minutes","Outdoor","Kabaddi court","High","Enhances physical fitness, strategic thinking, and teamwork","Traditional and Cultural Games"
"G314","Sepak Takraw","Kick Volleyball","Traditional Sport","Intermediate to Professional","A sport popular in Southeast Asia where players hit a rattan ball over a net using their feet, knees, chest, and head.","6","10+","15-30 minutes","Sepak takraw ball; Net","Score points by grounding the ball on the opponent's side without using hands.","Flexibility; Agility; Coordination","5 minutes","Outdoor or Indoor","Court similar to badminton","High","Improves agility, coordination, and cultural appreciation","Traditional and Cultural Games"
"G315","Go","Weiqi; Baduk","Board Game","Beginner to Master","An abstract strategy board game from China involving two players who alternately place black and white stones on a grid.","2","8+","30 minutes to several hours","Go board; Black and white stones","Control more territory on the board than your opponent.","Strategic thinking; Patience; Spatial reasoning","5 minutes","Indoor","Tabletop","Low","Enhances strategic thinking and concentration","Traditional and Cultural Games"
"G316","Pachisi","Ludo; Parcheesi","Board Game","Beginner","A traditional Indian board game where players race their pieces around the board based on dice rolls.","4","6+","30-60 minutes","Pachisi board; Pawns; Dice or cowrie shells","Be the first to get all your pieces to the home square.","Counting; Strategy; Probability","5 minutes","Indoor","Tabletop","Low","Develops counting skills and strategic planning","Traditional and Cultural Games"
"G317","Mancala","Oware; Bao","Board Game","Beginner to Intermediate","A family of board games played around the world, involving moving stones or seeds around a board with pits.","2","6+","15-30 minutes","Mancala board; Stones or seeds","Capture more stones than your opponent.","Counting; Strategy; Planning","2 minutes","Indoor","Tabletop","Low","Improves counting skills and strategic thinking","Traditional and Cultural Games"
"G318","Hnefatafl","Viking Chess","Board Game","Beginner to Intermediate","An ancient Scandinavian board game of strategy, involving a king's escape from attackers.","2","8+","20-30 minutes","Hnefatafl board; Playing pieces","Defenders aim to help the king escape; attackers aim to capture the king.","Strategic planning; Tactical thinking","5 minutes","Indoor","Tabletop","Low","Enhances strategic thinking and historical appreciation","Traditional and Cultural Games"
"G319","Xiangqi","Chinese Chess","Board Game","Beginner to Advanced","A two-player strategy board game similar to Western chess, popular in China.","2","6+","30-60 minutes","Xiangqi board; Playing pieces","Checkmate the opponent's general (king).","Strategic thinking; Concentration; Planning","5 minutes","Indoor","Tabletop","Low","Develops strategic thinking and cultural knowledge","Traditional and Cultural Games"
"G320","Shogi","Japanese Chess","Board Game","Beginner to Advanced","A two-player strategy board game native to Japan, similar to chess but with unique rules like piece promotion.","2","6+","30-90 minutes","Shogi board; Playing pieces","Checkmate the opponent's king.","Strategic thinking; Memory; Adaptability","5 minutes","Indoor","Tabletop","Low","Enhances strategic planning and cultural appreciation","Traditional and Cultural Games"
"G321","Petanque","Boules","Outdoor Game","Beginner to Advanced","A game originating from France where players throw hollow metal balls towards a small wooden target ball.","6","7+","30-60 minutes","Metal balls (boules); Target ball (cochonnet)","Score points by having your boules closest to the target ball.","Precision; Strategy; Coordination","5 minutes","Outdoor","Gravel or hard dirt surface","Low","Develops precision and social interaction","Traditional and Cultural Games"
"G322","Capoeira",,"Martial Art/Dance","Beginner to Advanced","An Afro-Brazilian martial art combining elements of dance, acrobatics, and music.","Unlimited","10+","Variable","Traditional instruments (berimbau, drums); Comfortable clothing","Engage in a flow of movements with a partner, emphasizing skill and expression.","Flexibility; Rhythm; Cultural expression","10 minutes","Indoor or Outdoor","Open space","Moderate to High","Enhances physical fitness, rhythm, and cultural understanding","Traditional and Cultural Games"
"G323","Kho Kho",,"Traditional Sport","Beginner to Intermediate","A traditional Indian tag game where one team chases and tries to tag the members of the opposing team.","12","7+","9 minutes per inning","Marked Kho Kho court","Score points by tagging as many opponents as possible.","Speed; Strategy; Teamwork","5 minutes","Outdoor","Kho Kho field","High","Improves physical fitness, teamwork, and strategic planning","Traditional and Cultural Games"
"G324","Jianzi","Shuttlecock Kick","Traditional Sport","Beginner to Intermediate","A Chinese game where players keep a weighted shuttlecock in the air using their feet and body, without hands.","Unlimited","6+","Variable","Jianzi (shuttlecock)","Keep the shuttlecock in the air as long as possible.","Coordination; Agility; Balance","2 minutes","Outdoor or Indoor","Open space","Moderate","Enhances coordination and physical fitness","Traditional and Cultural Games"
"G325","Ulama","Mesoamerican Ballgame","Traditional Sport","Intermediate","An ancient ballgame from Mesoamerica played with a rubber ball, where players hit the ball using their hips.","12","12+","Variable","Rubber ball; Ulama court","Keep the ball in play and score points against the opposing team.","Endurance; Agility; Teamwork","10 minutes","Outdoor","Specialized court","High","Promotes physical fitness and cultural heritage awareness","Traditional and Cultural Games"
"G326","Maori Stick Game","Ti Rakau","Cultural Game","Beginner","A traditional New Zealand Maori game involving rhythmic passing and catching of sticks in patterns.","Unlimited","6+","Variable","Short sticks or dowels","Coordinate stick movements with partners in rhythm.","Rhythm; Coordination; Teamwork","5 minutes","Indoor or Outdoor","Open space","Low","Enhances coordination and cultural appreciation","Traditional and Cultural Games"
"G327","Pilolo",,"Children's Game","Beginner","A traditional Ghanaian game where objects are hidden, and players race to find them upon a signal.","Unlimited","5+","Variable","Small objects (stones, sticks)","Find the hidden object and reach the finish line first.","Speed; Observation; Agility","5 minutes","Outdoor","Open area","Moderate","Develops observation skills and physical fitness","Traditional and Cultural Games"
"G328","Buzkashi",,"Traditional Sport","Advanced","A Central Asian sport where horseback players try to place a goat or calf carcass in a goal.","Unlimited (usually two teams)","16+","Variable","Horses; Goat or calf carcass","Score by placing the carcass in the goal area.","Riding skills; Strength; Strategy","15 minutes","Outdoor","Large open field","High","Enhances horsemanship and cultural understanding","Traditional and Cultural Games"
"G329","Gonggi","Korean Jacks","Traditional Game","Beginner","A Korean children's game played with five small stones, involving various throwing and catching sequences.","1+","5+","Variable","Five small stones or plastic pieces","Complete a series of skillful maneuvers with the stones.","Dexterity; Coordination; Concentration","None","Indoor","Floor space","Low","Develops fine motor skills and concentration","Traditional and Cultural Games"
"G330","Luta de Galo","Rooster Fight","Traditional Game","Beginner","A Brazilian game where players hold one leg and try to knock off a handkerchief tucked in the opponent's belt.","2+","8+","Variable","Handkerchiefs or cloths","Capture the opponent's handkerchief while hopping on one leg.","Balance; Agility; Strategy","2 minutes","Outdoor or Indoor","Open space","Moderate","Improves balance and coordination","Traditional and Cultural Games"
