"id","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","indoorOutdoor","place","physicalIntensityLevel","educationalBenefits","category"
"G179","The Legend of Zelda: Breath of the Wild","Zelda BOTW","Action-Adventure","Intermediate","An open-world game where players explore, solve puzzles, and battle enemies in the kingdom of Hyrule.","1","10+","50-200 hours","Nintendo Switch console; Game cartridge or download","Defeat Calamity Ganon to save Hyrule.","Problem-solving; Exploration; Strategic thinking","Installation time (~10 minutes)","Indoor","Home gaming setup","Low","Enhances critical thinking and problem-solving skills","Video Games"
"G180","Minecraft",,"Sandbox","Beginner to Advanced","A game where players build and explore infinite worlds, crafting tools and items to survive and create.","Unlimited (on servers)","7+","Variable","Computer or console; Game software","Survive and build structures in a block-based world.","Creativity; Resource management; Planning","Installation time (~10 minutes)","Indoor","Home gaming setup","Low","Encourages creativity and basic programming concepts","Video Games"
"G181","Fortnite",,"Battle Royale","Beginner to Advanced","A multiplayer game where players build structures and battle to be the last one standing.","100","13+","20-30 minutes per match","Computer or console; Game software","Be the last player or team remaining.","Strategic thinking; Reflexes; Teamwork","Installation time (~10 minutes)","Indoor","Home gaming setup","Moderate","Improves strategic planning and teamwork","Video Games"
"G182","Overwatch",,"First-Person Shooter (FPS)","Intermediate","A team-based shooter game where players choose heroes with unique abilities to complete objectives.","12","13+","10-20 minutes per match","Computer or console; Game software","Work with your team to complete objectives and defeat the opposing team.","Teamwork; Strategic planning; Reflexes","Installation time (~10 minutes)","Indoor","Home gaming setup","Moderate","Enhances teamwork and strategic thinking","Video Games"
"G183","Stardew Valley",,"Simulation RPG","Beginner to Intermediate","A farming simulation game where players manage a farm, interact with townspeople, and explore.","1","10+","50+ hours","Computer or console; Game software","Restore and manage your inherited farm.","Resource management; Planning; Social interaction","Installation time (~10 minutes)","Indoor","Home gaming setup","Low","Promotes planning and time management skills","Video Games"
"G184","Animal Crossing: New Horizons",,"Life Simulation","Beginner","A game where players develop a deserted island into a thriving community, interacting with animal villagers.","1","3+","Variable","Nintendo Switch console; Game cartridge or download","Build and customize your island paradise.","Creativity; Planning; Social interaction","Installation time (~10 minutes)","Indoor","Home gaming setup","Low","Encourages creativity and social interaction","Video Games"
"G185","Call of Duty: Modern Warfare",,"First-Person Shooter (FPS)","Intermediate to Advanced","A military shooter game with both single-player campaigns and multiplayer modes.","150","17+","Variable","Computer or console; Game software","Complete missions and objectives; defeat opposing players in multiplayer.","Reflexes; Strategic thinking; Teamwork","Installation time (~10 minutes)","Indoor","Home gaming setup","Moderate","Enhances strategic thinking and teamwork","Video Games"
"G186","Assassin's Creed Valhalla",,"Action-Adventure RPG","Intermediate","An open-world game set in the Viking era, where players explore and complete quests.","1","17+","60+ hours","Computer or console; Game software","Lead Viking raids and build your settlement.","Strategic planning; Exploration; Problem-solving","Installation time (~10 minutes)","Indoor","Home gaming setup","Low","Promotes historical interest and strategic thinking","Video Games"
"G187","Among Us",,"Social Deduction","Beginner","A multiplayer game where players work together to complete tasks on a spaceship, while impostors try to eliminate them.","15","10+","10-15 minutes per match","Computer or mobile device; Game software","Identify and vote out the impostors or sabotage the crew as an impostor.","Social deduction; Teamwork; Deception","2 minutes","Indoor","Home gaming setup","Low","Enhances social deduction and teamwork skills","Video Games"
"G188","Rocket League",,"Sports","Beginner to Advanced","A game that combines soccer with rocket-powered cars, allowing players to perform aerial stunts.","8","7+","5-10 minutes per match","Computer or console; Game software","Score more goals than the opposing team using rocket-powered cars.","Hand-eye coordination; Teamwork; Reflexes","Installation time (~10 minutes)","Indoor","Home gaming setup","Moderate","Improves coordination and teamwork","Video Games"
